id	Country	1	1000	1500	1600	1700	1820	1870	1913	1950	1973	2001
AUT	Austria			1414	2093	2483	4104	8419	23451	25702	85227	164851
BEL	Belgium			1225	1561	2288	4529	13716	32347	47190	118516	214655
DNK	Denmark			443	569	727	1471	3782	11670	29654	70032	123978
FIN	Finland			136	215	255	913	1999	6389	17051	51724	105298
FRA	France			10912	15559	19539	35468	72100	144489	220492	683965	1258297
DEU	Germany			8256	12656	13650	26819	72149	237332	265354	944755	1536743
ITA	Italy			11550	14410	14630	22535	41814	95487	164957	582713	1101366
NLD	Netherlands			723	2072	4047	4288	9952	24955	60642	175791	347136
NOR	Norway			192	304	450	1071	2485	6119	17838	44544	110683
SWE	Sweden			382	626	1231	3098	6927	17403	47269	109794	182492
CHE	Switzerland			411	750	1068	2165	5581	16483	42545	117251	162150
GBR	England			2815	6007	10709	36232	100180	224618	347850	675941	1202074
	Total_12_Country			38459	56822	71077	142693	339104	840743	1286544	3660253	6509723
PRT	Portugal			606	814	1638	3043	4219	7467	17615	63397	143234
ESP	Spain			4495	7029	7481	12299	19556	41653	61429	266896	627733
	Other			602	975	1106	2110	4712	12478	30600	105910	269582
	Total_Western_Europe	11115	10165	44162	65640	81302	160145	367591	902341	1396188	4096456	7550272
	Eastern_Europe	1900	2600	6696	9289	11393	24906	50163	134793	185023	550756	728792
RUS	Russia	1560	2840	8458	11426	16196	37678	83646	232351	510243	1513070	1343230
USA	USA			800	600	527	12548	98374	517383	1455916	3536622	7965795
	Other_Western_Offshoots			320	320	306	951	13129	65558	179574	521667	1190472
	Total_Western_Offshoots	468	784	1120	920	833	13499	111493	582941	1635490	4058289	9156267
MEX	Mexico			3188	1134	2558	5000	6214	25921	67368	279302	722198
	Other_Latin_America			4100	2629	3788	10024	21305	93950	348539	1109727	2364808
	Total_Latin_America	2240	4560	7288	3763	6346	15024	27519	119871	415907	1389029	3087006
JPN	Japan	1200	3188	7700	9620	15390	20739	25393	71653	160966	1242932	2624523
CHN	China	26820	26550	61800	96000	82800	228600	189740	241344	239903	740048	4569790
IND	India	33750	33750	60500	74250	90750	111417	134882	204242	222222	494832	2003193
	Other_Asia	16470	18630	31301	36725	40567	52177	76994	163109	363646	1388124	4908218
	Total_Asia_(excluding_Japan)	77040	78930	153601	206975	214117	392194	401616	608695	822771	2623004	11481201
	Africa	7096	13720	19283	23349	25692	31161	45234	79486	203131	549993	1222577
	Total_World	102619	116787	248308	330982	371269	695346	1112655	2732131	5329719	16023529	37193868
