id	Country	1	1000	1500	1600	1700	1820	1870	1913	1950	1973	2001
AUT	Austria	500	700	2000	2500	2500	3369	4520	6767	6935	7586	8151	
BEL	Belgium	300	400	1400	1600	2000	3434	5096	7666	8639	9738	10259	
DNK	Denmark	180	360	600	650	700	1155	1888	2983	4271	5022	5353	
FIN	Finland	20	40	300	400	400	1169	1754	3027	4009	4666	5176	
FRA	France	5000	6500	15000	18500	21471	31250	38440	41463	41829	52157	59658	
DEU	Germany	3000	3500	12000	16000	15000	24905	39231	65058	68375	78950	82281	
ITA	Italy	7000	5000	10500	13100	13300	20176	27888	37248	47105	54797	57845	
NLD	Netherlands	200	300	950	1500	1900	2333	3610	6164	10114	13438	15981
NOR	Norway	100	200	300	400	500	970	1735	2447	3265	3961	4503
SWE	Sweden	200	400	550	760	1260	2585	4169	5621	7014	8137	8875
CHE	Switzerland	300	300	650	1000	1200	1986	2655	3864	4694	6441	7283
GBR	England	800	2000	3942	6170	8565	21239	31400	45649	50127	56210	59723
	Total_12_Country	17600	19700	48192	62580	68796	114571	162386	227957	256377	301103	325088
PRT	Portugal	500	600	1000	1100	2000	3297	4327	5972	8443	8976	10066
ESP	Spain	4500	4000	6800	8240	8770	12203	16201	20263	28063	34837	40087
	Other	2100	1113	1276	1858	1894	2969	4590	6783	12058	13909	16860
	Total_Western_Europe	24700	25413	57268	73778	81460	133040	187504	260975	304941	358825	392101
	Eastern_Europe	4750	6500	13500	16950	18800	36457	53557	79530	87637	110418	120912
RUS	Russia	3900	7100	16950	20700	26550	54765	88672	156192	179571	249712	290349
USA	USA	680	1300	2000	1500	1000	9981	40241	97606	152271	211909	285024
	Other_Western_Offshoots	490	660	800	800	750	1250	5847	13795	24186	38932	54815
	Total_Western_Offshoots	1170	1960	2800	2300	1750	11231	46088	111401	176457	250841	339839
MEX	Mexico	2200	4500	7500	2500	4500	6587	9219	14970	28485	57643	101879
	Other_Latin_America	3400	6900	10000	6100	7550	15118	31180	65965	137453	250756	429334
	Total_Latin_America	5600	11400	17500	8600	12050	21705	40399	80935	165938	308399	531213
JPN	Japan	3000	7500	15400	18500	27000	31000	34437	51672	83805	108707	126892
CHN	China	59600	59000	103000	160000	138000	381000	358000	437140	546815	881940	1275392
IND	India	75000	75000	110000	135000	165000	209000	253000	303700	359000	580000	1023590
	Other_Asia	36600	41400	55400	65000	71800	89400	119792	184849	392827	677613	1227630
	Total_Asia_(excluding_Japan)	171200	175400	268400	360000	374800	679400	730792	925689	1298642	2139553	3526612
	Africa	16500	32300	46610	55320	61080	74236	90466	124697	227333	390034	821088
	Total_World	230820	267573	438428	556148	603490	1041834	1271915	1791091	2524324	3916489	6149006
